date,prix_cloture,ticker,prix_cloture,prix_cloture
,MBOT,,PESI,F
2025-06-10,2.5999999046325684,MBOT,,
2025-06-11,2.5,MBOT,,
2025-06-12,2.4800000190734863,MBOT,,
2025-06-13,2.3399999141693115,MBOT,,
2025-06-16,2.450000047683716,MBOT,,
2025-06-17,2.4200000762939453,MBOT,,
2025-06-18,2.4700000286102295,MBOT,,
2025-06-20,2.4100000858306885,MBOT,,
2025-06-10,,PESI,10.359999656677246,
2025-06-11,,PESI,10.319999694824219,
2025-06-12,,PESI,10.329999923706055,
2025-06-13,,PESI,9.979999542236328,
2025-06-16,,PESI,10.069999694824219,
2025-06-17,,PESI,10.050000190734863,
2025-06-18,,PESI,10.100000381469727,
2025-06-20,,PESI,9.989999771118164,
2025-06-10,,F,,10.600000381469727
2025-06-11,,F,,10.65999984741211
2025-06-12,,F,,10.529999732971191
2025-06-13,,F,,10.430000305175781
2025-06-16,,F,,10.619999885559082
2025-06-17,,F,,10.420000076293945
2025-06-18,,F,,10.430000305175781
2025-06-20,,F,,10.59000015258789
